# Parameters

Dataset = set_full
Cutoff Frequency = Unfiltered
Data Window = 200
Trim Size = 13s per side

n Features = 10
Datasets = All

# Extracted Features - Middle 

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
3 	 594 	 X Accel 1.0 Hz 	 0.109
4 	 599 	 Y Accel 0.0 Hz 	 0.086
5 	 600 	 X Accel 0.0 Hz 	 0.071
6 	 598 	 Z Accel 0.0 Hz 	 0.038
7 	 588 	 X Accel 2.0 Hz 	 0.030
8 	 587 	 Y Accel 2.0 Hz 	 0.026
9 	 581 	 Y Accel 3.0 Hz 	 0.026
10 	 582 	 X Accel 3.0 Hz 	 0.022

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.207
2 	 598 	 Z Accel 0.0 Hz 	 0.004
3 	 576 	 X Accel 4.0 Hz 	 0.003
4 	 600 	 X Accel 0.0 Hz 	 0.003
5 	 564 	 X Accel 6.1 Hz 	 0.001
6 	 596 	 Y Gyro 0.0 Hz 		 0.001
7 	 581 	 Y Accel 3.0 Hz 	 0.003
8 	 575 	 Y Accel 4.0 Hz 	 0.001
9 	 437 	 Y Accel 27.3 Hz 	 0.002
10 	 593 	 Y Accel 1.0 Hz 	 0.010


# FFT - Right

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.199
2 	 593 	 Y Accel 1.0 Hz 	 0.120
3 	 594 	 X Accel 1.0 Hz 	 0.104
4 	 599 	 Y Accel 0.0 Hz 	 0.071
5 	 600 	 X Accel 0.0 Hz 	 0.052
6 	 588 	 X Accel 2.0 Hz 	 0.036
7 	 587 	 Y Accel 2.0 Hz 	 0.030
8 	 581 	 Y Accel 3.0 Hz 	 0.019
9 	 582 	 X Accel 3.0 Hz 	 0.017
10 	 598 	 Z Accel 0.0 Hz 	 0.012

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 595 	 Z Gyro 0.0 Hz 		 0.199
2 	 575 	 Y Accel 4.0 Hz 	 0.000
3 	 596 	 Y Gyro 0.0 Hz 		 0.002
4 	 597 	 X Gyro 0.0 Hz 		 0.004
5 	 328 	 Z Accel 45.5 Hz 	 0.002
6 	 599 	 Y Accel 0.0 Hz 	 0.009
7 	 376 	 Z Accel 37.4 Hz 	 0.001
8 	 346 	 Z Accel 42.4 Hz 	 0.001
9 	 352 	 Z Accel 41.4 Hz 	 0.001
10 	 598 	 Z Accel 0.0 Hz 	 0.002


# PSD Log - Middle


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 261 	 X Gyro 56.0 Hz 	 0.569
2 	 279 	 X Gyro 53.0 Hz 	 0.558
3 	 249 	 X Gyro 58.0 Hz 	 0.558
4 	 291 	 X Gyro 51.0 Hz 	 0.556
5 	 255 	 X Gyro 57.0 Hz 	 0.554
6 	 267 	 X Gyro 55.0 Hz 	 0.551
7 	 273 	 X Gyro 54.0 Hz 	 0.549
8 	 297 	 X Gyro 50.0 Hz 	 0.547
9 	 243 	 X Gyro 59.0 Hz 	 0.545
10 	 285 	 X Gyro 52.0 Hz 	 0.545

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 261 	 X Gyro 56.0 Hz 	 0.569
2 	 572 	 Y Gyro 4.0 Hz 		 0.288
3 	 95 	 Y Accel 84.0 Hz 	 0.260
4 	 554 	 Y Gyro 7.0 Hz 		 0.224
5 	 390 	 X Accel 35.0 Hz 	 0.234
6 	 249 	 X Gyro 58.0 Hz 	 0.209
7 	 560 	 Y Gyro 6.0 Hz 		 0.211
8 	 65 	 Y Accel 89.0 Hz 	 0.217
9 	 578 	 Y Gyro 3.0 Hz 		 0.204
10 	 113 	 Y Accel 81.0 Hz 	 0.216


# PSD Log - Left


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 232 	 Z Accel 61.0 Hz 	 0.781
2 	 220 	 Z Accel 63.0 Hz 	 0.779
3 	 256 	 Z Accel 57.0 Hz 	 0.777
4 	 250 	 Z Accel 58.0 Hz 	 0.777
5 	 226 	 Z Accel 62.0 Hz 	 0.777
6 	 262 	 Z Accel 56.0 Hz 	 0.773
7 	 238 	 Z Accel 60.0 Hz 	 0.771
8 	 244 	 Z Accel 59.0 Hz 	 0.765
9 	 268 	 Z Accel 55.0 Hz 	 0.740
10 	 274 	 Z Accel 54.0 Hz 	 0.729

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 232 	 Z Accel 61.0 Hz 	 0.781
2 	 532 	 Z Accel 11.0 Hz 	 0.192
3 	 262 	 Z Accel 56.0 Hz 	 0.383
4 	 220 	 Z Accel 63.0 Hz 	 0.288
5 	 256 	 Z Accel 57.0 Hz 	 0.256
6 	 160 	 Z Accel 73.0 Hz 	 0.255
7 	 268 	 Z Accel 55.0 Hz 	 0.265
8 	 250 	 Z Accel 58.0 Hz 	 0.252
9 	 226 	 Z Accel 62.0 Hz 	 0.236
10 	 118 	 Z Accel 80.0 Hz 	 0.228


# PSD Log - Right


*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 250 	 Z Accel 58.0 Hz 	 0.597
2 	 262 	 Z Accel 56.0 Hz 	 0.596
3 	 256 	 Z Accel 57.0 Hz 	 0.594
4 	 280 	 Z Accel 53.0 Hz 	 0.576
5 	 166 	 Z Accel 72.0 Hz 	 0.569
6 	 160 	 Z Accel 73.0 Hz 	 0.565
7 	 244 	 Z Accel 59.0 Hz 	 0.565
8 	 274 	 Z Accel 54.0 Hz 	 0.554
9 	 268 	 Z Accel 55.0 Hz 	 0.543
10 	 172 	 Z Accel 71.0 Hz 	 0.531

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 250 	 Z Accel 58.0 Hz 	 0.597
2 	 160 	 Z Accel 73.0 Hz 	 0.370
3 	 322 	 Z Accel 46.0 Hz 	 0.265
4 	 262 	 Z Accel 56.0 Hz 	 0.269
5 	 166 	 Z Accel 72.0 Hz 	 0.285
6 	 280 	 Z Accel 53.0 Hz 	 0.247
7 	 70 	 Z Accel 88.0 Hz 	 0.252
8 	 256 	 Z Accel 57.0 Hz 	 0.247
9 	 154 	 Z Accel 74.0 Hz 	 0.244
10 	 46 	 Z Accel 92.0 Hz 	 0.237

