,Left,Middle,Right
72,Root Variance Frequency X Accel Left,Root Mean Square Frequency X Gyro Middle,Max Z Gyro Right
73,Mean Y Gyro Left,Root Variance Frequency Z Accel Middle,L2 Norm X Gyro Right
74,Root Mean Square Frequency Y Accel Left,Std Dev Y Accel Middle,L2 Norm X Accel Right
75,Std Dev X Accel Left,Root Variance Frequency Y Gyro Middle,Root Mean Squared Z Accel Right
76,Root Mean Squared Z Accel Left,L2 Norm X Accel Middle,Root Mean Square Frequency X Accel Right
77,Root Mean Squared Y Gyro Left,L2 Norm X Gyro Middle,Root Mean Squared Y Gyro Right
78,Mean X Gyro Left,L2 Norm Y Gyro Middle,Root Mean Square Frequency Y Accel Right
79,Autocorrelation X Accel Left,Root Mean Squared X Accel Middle,Mean Z Gyro Right
80,L2 Norm Z Gyro Left,Root Mean Squared X Gyro Middle,L2 Norm Y Accel Right
81,L2 Norm X Gyro Left,Std Dev X Gyro Middle,Root Mean Squared X Gyro Right
82,Mean Y Accel Left,Std Dev Y Gyro Middle,Mean X Accel Right
83,L2 Norm Y Accel Left,Root Mean Squared Y Accel Middle,Mean Y Gyro Right
84,L2 Norm Y Gyro Left,Std Dev X Accel Middle,Root Mean Squared Z Gyro Right
85,Autocorrelation Z Gyro Left,Std Dev Z Accel Middle,Root Mean Squared X Accel Right
86,Mean X Accel Left,L2 Norm Y Accel Middle,Mean Y Accel Right
87,Root Mean Squared X Accel Left,Root Mean Squared Y Gyro Middle,Autocorrelation Z Gyro Right
88,Mean Z Gyro Left,Root Mean Squared Z Accel Middle,Autocorrelation X Accel Right
89,Root Mean Squared Z Gyro Left,L2 Norm Z Accel Middle,Autocorrelation Y Accel Right
90,Label,Label,Label
